sample	file
FL1011T2	/FL1011T2.capture_S072.hg38.cram
FL1176T2	/FL1176T2.capture_S072.hg38.cram
FL1241T2	/FL1241T2.capture_S072.hg38.cram
CCS_0581	/CCS_0581.capture_S318.hg38.cram
FL1236T2	/FL1236T2.capture_S072.hg38.cram
CLC01944	/CLC01944.capture_TE99028370.hg38.cram
FL1118T1	/FL1118T1.capture_S072.hg38.cram
DLC_0353	/DLC_0353.capture_S072.hg38.cram
DLC_0363	/DLC_0363.capture_S072.hg38.cram
DLC_0126	/DLC_0126.capture_S072.hg38.cram
DLC_0013	/DLC_0013.capture_S072.hg38.cram
CCS_0499	/CCS_0499.capture_S318.hg38.cram
DLC_0016	/DLC_0016.capture_S072.hg38.cram
FL1144T2	/FL1144T2.capture_S072.hg38.cram
FL1219T3	/FL1219T3.capture_S072.hg38.cram
FL1219T4	/FL1219T4.capture_S072.hg38.cram
CCS_0007	/CCS_0007.capture_S318.hg38.cram
FL1109T2	/FL1109T2.capture_S072.hg38.cram
DLC_0389	/DLC_0389.capture_S072.hg38.cram
CLC02067	/CLC02067.capture_TE99028370.hg38.cram
CLC00134	/CLC00134.capture_S072.hg38.cram
DLC_0062R	/DLC_0062R.capture_S072.hg38.cram
LYPET_017_DNA	/LYPET_017_DNA.capture_S072.hg38.cram
CCS_1065	/CCS_1065.capture_S318.hg38.cram
FL1222T2	/FL1222T2.capture_S072.hg38.cram
DLC_0294	/DLC_0294.capture_S072.hg38.cram
CCS_0493	/CCS_0493.capture_S072.hg38.cram
FL1129T2	/FL1129T2.capture_S072.hg38.cram
CCS_1980	/CCS_1980.capture_TE99028370.hg38.cram
CLC01982	/CLC01982.capture_TE99028370.hg38.cram
CCS_1578	/CCS_1578.capture_S318.hg38.cram
DLC_0319	/DLC_0319.capture_S072.hg38.cram
CCS_0404	/CCS_0404.capture_S318.hg38.cram
CCS_0707	/CCS_0707.capture_S072.hg38.cram
CCS_0583	/CCS_0583.capture_S318.hg38.cram
DLC_0113	/DLC_0113.capture_S072.hg38.cram
CCS_0024	/CCS_0024.capture_S318.hg38.cram
CCS_1158	/CCS_1158.capture_S318.hg38.cram
FL3120T1	/FL3120T1.capture_S072.hg38.cram
DLC_0326	/DLC_0326.capture_S318.hg38.cram
CCS_1136	/CCS_1136.capture_S318.hg38.cram
CCS_1315	/CCS_1315.capture_TE99028370.hg38.cram
CCS_0589	/CCS_0589.capture_S318.hg38.cram
DLC_0204	/DLC_0204.capture_S072.hg38.cram
CCS_0933	/CCS_0933.capture_S318.hg38.cram
DLC_0149	/DLC_0149.capture_S072.hg38.cram
CCS_1522	/CCS_1522.capture_S072.hg38.cram
FL1018T2	/FL1018T2.capture_S072.hg38.cram
CCS_1574	/CCS_1574.capture_S318.hg38.cram
CCS_0954	/CCS_0954.capture_S072.hg38.cram
CCS_0396	/CCS_0396.capture_S318.hg38.cram
DLC_0357	/DLC_0357.capture_S072.hg38.cram
CCS_0941	/CCS_0941.capture_S318.hg38.cram
CCS_0600	/CCS_0600.capture_S318.hg38.cram
DLC_0171	/DLC_0171.capture_S072.hg38.cram
CCS_0042	/CCS_0042.capture_S318.hg38.cram
CCS_0959	/CCS_0959.capture_TE99028370.hg38.cram
DLC_0262	/DLC_0262.capture_S072.hg38.cram
CLC00777	/CLC00777.capture_S318.hg38.cram
CCS_1923	/CCS_1923.capture_S318.hg38.cram
CCS_0888	/CCS_0888.capture_S318.hg38.cram
LYPET_010	/LYPET_010.capture_S318.hg38.cram
CCS_0949	/CCS_0949.capture_S072.hg38.cram
CCS_1524	/CCS_1524.capture_S072.hg38.cram
CCS_1446	/CCS_1446.capture_S318.hg38.cram
CCS_0050	/CCS_0050.capture_S318.hg38.cram
CCS_1466	/CCS_1466.capture_TE99028370.hg38.cram
CCS_1453	/CCS_1453.capture_S318.hg38.cram
DLC_0154	/DLC_0154.capture_S318.hg38.cram
CCS_1527	/CCS_1527.capture_S072.hg38.cram
DLC_0321	/DLC_0321.capture_S072.hg38.cram
CCS_0608	/CCS_0608.capture_S318.hg38.cram
DLC_0359	/DLC_0359.capture_S072.hg38.cram
CCS_0610	/CCS_0610.capture_S318.hg38.cram
CCS_0430	/CCS_0430.capture_S318.hg38.cram
CCS_0673	/CCS_0673.capture_S318.hg38.cram
CCS_0611	/CCS_0611.capture_S318.hg38.cram
CCS_1508	/CCS_1508.capture_S318.hg38.cram
CCS_0722	/CCS_0722.capture_S318.hg38.cram
DLC_0309	/DLC_0309.capture_S072.hg38.cram
CCS_0891	/CCS_0891.capture_S318.hg38.cram
CCS_0063	/CCS_0063.capture_TE99028370.hg38.cram
CCS_0432	/CCS_0432.capture_S072.hg38.cram
DLC_0094	/DLC_0094.capture_S072.hg38.cram
CCS_0070	/CCS_0070.capture_S318.hg38.cram
CCS_0619	/CCS_0619.capture_S318.hg38.cram
