sample	file
05-24065T	/05-24065T.genome.grch37.cram
05-33344T	/05-33344T.genome.grch37.cram
07-10483T	/07-10483T.genome.grch37.cram
07-11788T	/07-11788T.genome.grch37.cram
07-13339T	/07-13339T.genome.grch37.cram
08-15555T	/08-15555T.genome.grch37.cram
10-27119T	/10-27119T.genome.grch37.cram
12-34927T	/12-34927T.genome.grch37.cram
13-42815T	/13-42815T.genome.grch37.cram
14-14094T	/14-14094T.genome.grch37.cram
17-33848_tumorB	/17-33848_tumorB.genome.grch37.cram
18-36878_tumorB	/18-36878_tumorB.genome.grch37.cram
