sample_id	num_csr_events	CSR_event
00-14595_tumorD	1	CSR
01-14774_tumorA	1	CSR
01-20260T	1	CSR
01-20774T	1	CSR
02-20170T	1	CSR
03-10363T	1	CSR
03-10440_tumorA	1	CSR
03-11110T	2	CSR
03-23488_tumorB	1	CSR
04-14093_tumorA	1	CSR
04-24061_tumorA	1	CSR
05-18426T	1	CSR
05-23110T	1	CSR
05-24006T	3	CSR
05-24065T	2	CSR
05-24401T	1	CSR
05-24904T	1	CSR
05-25674T	1	CSR
05-32762T	1	CSR
05-33344T	1	CSR
06-10398T	3	CSR
06-11535T	1	CSR
06-14634T	2	CSR
06-15256T	1	CSR
06-15922T	2	CSR
06-19919T	2	CSR
06-24925T	1	CSR
06-33777T	2	CSR
07-10483T	1	CSR
07-11788T	4	CSR
07-13339T	5	CSR
07-25012T	1	CSR
07-41887_tumorA	1	CSR
08-13706T	1	CSR
08-15555T	1	CSR
08-17645_tumorA	1	CSR
08-19764T	1	CSR
08-33625T	1	CSR
09-12737T	2	CSR
09-15842_tumorA	1	CSR
09-16981T	1	CSR
09-27193T	1	CSR
09-31895T	2	CSR
09-33003T	1	CSR
09-37629T	1	CSR
09-41082T	1	CSR
09-41114T	1	CSR
10-10826T	2	CSR
10-15025T	2	CSR
10-27119T	6	CSR
10-39294_tumorA	1	CSR
10-40676T	3	CSR
10-41170T	1	CSR
11-14210T	1	CSR
11-34915T	2	CSR
11-35935T	1	CSR
12-29259T	1	CSR
13-26601T	1	CSR
13-26835_tumorA	1	CSR
13-27960T	1	CSR
13-30451T	1	CSR
13-31210T	1	CSR
13-38657_tumorA	1	CSR
13-42815T	1	CSR
13-43956T	1	CSR
14-13213T	1	CSR
14-13480T	1	CSR
14-14094T	1	CSR
14-24648_tumorA	1	CSR
14-26632T	1	CSR
14-27524T	1	CSR
14-27873T	1	CSR
14-30670T	1	CSR
14-32185T	1	CSR
14-32899T	1	CSR
14-34708T	1	CSR
14-35026T	1	CSR
14-37865T	1	CSR
15-10535T	1	CSR
15-11617T	2	CSR
15-13383_tumorB	3	CSR
15-14583T	2	CSR
15-16852T	3	CSR
15-16885T	2	CSR
15-18916T	1	CSR
15-24058T	1	CSR
15-29305T	1	CSR
15-29858T	1	CSR
15-30123T	2	CSR
15-30563T	1	CSR
15-33862T	1	CSR
15-34472T	3	CSR
15-36416T	2	CSR
15-37079T	1	CSR
15-39521T	1	CSR
15-39657T	2	CSR
15-41277T	1	CSR
15-43657T	1	CSR
15-43891T	2	CSR
16-13504T	2	CSR
16-16192T	2	CSR
16-18623T	1	CSR
16-19402T	1	CSR
16-20119T	2	CSR
16-23208T	1	CSR
16-27074_tumorA	2	CSR
16-27413T	4	CSR
16-29329T	1	CSR
16-30371T	1	CSR
16-30818T	2	CSR
16-37587_tumorB	2	CSR
16-37777T	1	CSR
16-43741_tumorA	3	CSR
17-12136T	2	CSR
17-23504T	1	CSR
17-33848_tumorB	1	CSR
17-36275T	2	CSR
17-40409_tumorA	1	CSR
18-14625_tumorA	1	CSR
18-19313_tumorA	1	CSR
19-25121_tumorA	1	CSR
89-62169T	1	CSR
92-38267_tumorA	1	CSR
96-31596T	1	CSR
99-13520T	1	CSR
99-27137T	2	CSR
BLGSP-71-06-00002-01C-01D	3	CSR
BLGSP-71-06-00011-01A-11D	1	CSR
BLGSP-71-06-00012-01A-11D	1	CSR
BLGSP-71-06-00020-01A-11D	1	CSR
BLGSP-71-06-00072-01A-11D	1	CSR
BLGSP-71-06-00074-01A-11D	1	CSR
BLGSP-71-06-00075-01B-11D	2	CSR
BLGSP-71-06-00076-01A-11D	1	CSR
BLGSP-71-06-00086-01A-01D	2	CSR
BLGSP-71-06-00090-01A-01D	2	CSR
BLGSP-71-06-00093-01A-01D	1	CSR
BLGSP-71-06-00139-01A-01E	1	CSR
BLGSP-71-06-00148-01A-01D	2	CSR
BLGSP-71-06-00155-01A-01D	1	CSR
BLGSP-71-06-00158-01A-01D	1	CSR
BLGSP-71-06-00160-01A-03D	1	CSR
BLGSP-71-06-00162-01A-01D	1	CSR
BLGSP-71-06-00251-01C-01D	1	CSR
BLGSP-71-06-00253-01A-01D	2	CSR
BLGSP-71-06-00283-01A-01D	2	CSR
BLGSP-71-06-00286-01A-01D	1	CSR
BLGSP-71-08-00197-01A-11D	1	CSR
BLGSP-71-08-00207-01A-11D	1	CSR
BLGSP-71-08-00210-01A-11D	1	CSR
BLGSP-71-17-00231-01A-16E	1	CSR
BLGSP-71-17-00234-01A-01E	1	CSR
BLGSP-71-17-00235-01B-01E	1	CSR
BLGSP-71-17-00237-01A-01E	1	CSR
BLGSP-71-17-00238-01A-15E	2	CSR
BLGSP-71-17-00359-01A-01E	2	CSR
BLGSP-71-19-00113-01A-01D	2	CSR
BLGSP-71-19-00122-09A.1-01D	2	CSR
BLGSP-71-19-00126-09A-01D	1	CSR
BLGSP-71-19-00127-04A.1-01D	1	CSR
BLGSP-71-19-00521-09A-01D	1	CSR
BLGSP-71-21-00186-01A-01E	2	CSR
BLGSP-71-23-00362-01A-01E	1	CSR
BLGSP-71-23-00404-01A-01E	1	CSR
BLGSP-71-23-00409-01A-01E	1	CSR
BLGSP-71-23-00410-01B-01E	4	CSR
BLGSP-71-26-00399-01A-01E	1	CSR
BLGSP-71-26-00400-01A-01E	1	CSR
BLGSP-71-27-00415-01A-01E	1	CSR
BLGSP-71-27-00427-01A-04E	2	CSR
BLGSP-71-27-00428-01A-01E	1	CSR
BLGSP-71-27-00429-01A-01E	1	CSR
BLGSP-71-30-00641-01A-01E	3	CSR
BLGSP-71-30-00643-01A-01E	2	CSR
BLGSP-71-30-00645-01A-01E	1	CSR
BLGSP-71-30-00648-01A-01E	1	CSR
BLGSP-71-30-00649-01A-01E	1	CSR
BLGSP-71-30-00653-01A-01E	1	CSR
BLGSP-71-30-00654-01A-01E	2	CSR
BLGSP-71-30-00657-01A-01E	1	CSR
BLGSP-71-30-00662-01A-01E	2	CSR
BLGSP-71-30-00667-01A-01E	1	CSR
BLGSP-71-30-00670-01A-01E	2	CSR
BLGSP-71-30-00673-01A-01E	2	CSR
BLGSP-71-30-00675-01A-01E	3	CSR
BLGSP-71-30-00677-01A-01E	1	CSR
BLGSP-71-30-00681-01A-01E	1	CSR
BLGSP-71-30-00682-01A-01E	1	CSR
BLGSP-71-30-00776-01A-01E	1	CSR
BLGSP-71-30-00777-01A-01E	1	CSR
BLGSP-71-30-00780-01A-01E	1	CSR
BLGSP-71-30-00781-01A-01E	1	CSR
BLGSP-71-32-00691-01A-01E	1	CSR
BLGSP-71-32-00699-01A-01E	1	CSR
CCS_0138	1	CSR
CCS_0157	1	CSR
CCS_0190	1	CSR
CCS_0195	2	CSR
CCS_0212	1	CSR
CCS_0285	1	CSR
CCS_0493	2	CSR
CCS_0545	1	CSR
CCS_0581	1	CSR
CCS_0589	1	CSR
CCS_0611	1	CSR
CCS_0624	1	CSR
CCS_0628	1	CSR
CCS_0656	2	CSR
CCS_0722	1	CSR
CCS_0727	1	CSR
CCS_0762	1	CSR
CCS_0807	2	CSR
CCS_0838	1	CSR
CCS_0898	1	CSR
CCS_0933	1	CSR
