sample_id	TSS	exon1
00-14595_tumorD	27	8
00-23442_tumorA	4	4
01-12047_tumorA	3	1
01-16433_tumorC	50	8
01-20260T	16	3
01-20774T	18	5
01-28152_tumorA	1	0
02-13135T	21	4
02-15745_tumorB	40	3
02-15745_tumorC	43	3
02-18356_tumorA	1	0
02-22991T	1	0
02-24492_tumorA	26	5
02-24492_tumorB	24	5
03-10440_tumorA	1	1
03-11110T	17	2
03-23488_tumorA	30	7
03-23488_tumorB	32	8
03-33266_tumorA	38	8
03-34157T	5	1
04-21856_tumorA	31	9
04-24937T	4	2
04-38964T	28	5
05-15635_tumorA	35	8
05-17793T	23	7
05-21634T	1	0
05-23110T	11	0
05-24401T	16	5
05-24666T	22	4
05-24904T	10	2
05-25439T	6	1
05-25674T	21	1
05-25788T	46	7
05-28753_tumorB	1	1
05-32762T	18	6
05-33344T	19	8
06-10398T	1	0
06-15922T	4	1
06-24255_tumorB	30	14
06-24925T	1	0
06-28477_tumorA	29	12
06-30025T	11	1
06-30145T	5	1
06-33777T	6	1
07-11788T	21	5
07-21038_tumorA	11	1
07-25012T	8	1
07-25994_tumorA	27	9
07-30628T	7	1
07-31833T	28	9
07-32561_tumorA	8	1
07-35482T	9	0
07-40648_tumorA	32	10
07-41887_tumorA	32	14
08-13706T	17	5
08-15555T	2	0
08-19764T	15	2
08-25894T	1	0
08-29440_tumorA	50	12
08-33625T	20	4
09-12864T	17	5
09-15842_tumorA	41	8
09-27193T	23	7
09-31601_tumorA	1	0
09-31895T	10	2
09-41114T	14	3
10-10826T	33	7
10-15025T	6	0
10-27119T	12	4
10-27899T	1	0
10-28165T	9	4
10-36955_tumorC	25	3
10-39333T	1	1
10-41170T	25	2
11-21727T	14	2
11-28845T	17	4
11-34915T	32	7
12-32967T	21	5
12-34927T	1	0
13-19570T	25	8
13-26597T	18	5
13-26601T	10	3
13-27960T	21	4
13-29091T	5	2
13-31210T	15	3
13-34919T	10	3
13-38657_tumorA	53	13
13-40370T	16	4
13-40593T	15	0
13-42815T	1	1
13-43956T	10	3
14-11009T	9	4
14-11247T	1	0
14-11427T	24	5
14-13213T	23	6
14-13959T	9	0
14-15505T	16	7
14-20552_tumorA	5	3
14-20962T	34	5
14-24534_tumorA	19	0
14-24907T	17	6
14-25416T	7	0
14-25466T	1	0
14-26632T	8	3
14-27524T	22	2
14-27873T	5	2
14-28286T	27	6
14-29644T	20	5
14-30670T	18	1
14-32185T	6	1
14-32442T	30	12
14-32922T	16	5
14-34508T	23	10
14-34590T	26	3
14-34708T	11	0
14-34800T	24	2
14-35030T	9	5
14-37865T	14	2
14-38639T	42	10
14-41250T	35	6
14-41461T	38	8
15-10675T	11	6
15-12532T	16	3
15-14453T	20	8
15-14583T	13	6
15-15253T	8	0
15-15757T	22	2
15-16852T	20	7
15-16885T	27	6
15-18723T	46	12
15-18916T	29	4
15-21654T	22	3
15-21665_tumorA	2	1
15-29305T	19	6
15-30123T	28	4
15-30563T	30	9
15-33862T	23	3
15-34885T	1	0
15-36416T	34	7
15-36675T	29	14
15-37079T	8	1
15-37466T	19	4
15-39521T	40	12
15-39657T	20	5
15-40296T	13	4
15-41277T	20	8
15-42543T	24	1
15-43657T	51	11
15-43891T	44	7
16-10805T	35	8
16-13504T	13	2
16-13732T	7	0
16-18029T	4	1
16-19402T	22	7
16-20119T	31	8
16-23208T	43	11
16-27229T	18	2
16-30371T	14	1
16-30818T	19	2
16-32417T	32	6
16-43741_tumorA	39	11
16-43741_tumorB	37	6
17-33848_tumorB	29	5
17-40409_tumorA	93	13
18-19313_tumorA	30	3
18-29136T	29	9
18-36878_tumorB	66	14
19-16466_tumorA	62	13
89-62169T	21	6
92-38267_tumorA	17	3
95-32814T	11	0
96-11779T	26	3
96-31490T	1	0
96-31596T	22	2
97-18502_tumorA	18	0
99-13280T	19	8
99-13520T	23	9
BLGSP-71-06-00015-01A-21D	1	0
BLGSP-71-08-00199-01A-11D	1	0
BLGSP-71-26-00400-01A-01E	1	1
BLGSP-71-30-00649-01A-01E	1	0
BLGSP-71-30-00655-01A-01E	1	0
BLGSP-71-30-00662-01A-01E	1	0
BLGSP-71-30-00667-01A-01E	1	0
BLGSP-71-30-00673-01A-01E	1	0
CCS_0042	41	12
CCS_0087	1	0
CCS_0093	44	11
CCS_0099	36	5
CCS_0120	50	19
CCS_0126	1	0
CCS_0128	1	0
CCS_0138	56	18
CCS_0142	13	0
CCS_0190	10	2
CCS_0194	21	7
CCS_0195	43	16
CCS_0200	3	0
CCS_0212	58	13
CCS_0235	25	5
CCS_0265	58	13
CCS_0277	7	2
CCS_0285	86	36
CCS_0295	1	0
CCS_0308	1	1
CCS_0318	19	6
CCS_0320	41	8
CCS_0343	28	2
CCS_0352	1	0
CCS_0361	1	0
CCS_0363	37	12
CCS_0389	25	5
CCS_0390	41	12
CCS_0391	65	4
CCS_0396	11	2
CCS_0397	15	4
CCS_0430	61	18
CCS_0493	63	19
CCS_0581	59	15
CCS_0611	70	18
CCS_0619	23	7
CCS_0624	52	8
CCS_0655	74	21
CCS_0656	18	4
CCS_0707	29	4
CCS_0722	42	5
CCS_0762	63	17
CCS_0764	1	0
CCS_0767	36	8
CCS_0806	15	0
CCS_0888	42	12
CCS_0889	60	9
CCS_0902	100	22
CCS_0949	68	18
CCS_0954	41	7
CCS_0959	122	17
CCS_1025	36	8
CCS_1048	55	19
CCS_1095	85	23
CCS_1257	65	11
CCS_1284	64	11
CCS_1304	4	0
CCS_1342	1	0
CCS_1345	32	4
CCS_1379	1	0
CCS_1422	56	7
CCS_1453	77	16
CCS_1493	86	26
CCS_1522	48	13
CCS_1524	32	9
CCS_1527	43	8
CCS_1574	2	0
CCS_1578	52	16
CCS_1832	59	17
CCS_1879	68	19
CCS_1884	39	5
CCS_1980	1	0
CCS_2011	31	2
CCS_2012	54	5
CCS_2042	84	19
CLC00284	50	17
CLC00300	85	22
CLC00337	26	12
CLC00340	39	3
CLC00344	10	5
CLC00346	55	6
CLC00355	45	10
CLC00522	33	8
CLC00813	77	24
CLC01938	52	14
CLC01945	77	14
CLC01956	21	3
CLC01962	42	3
CLC01963	30	0
CLC01969	35	5
CLC01976	36	4
CLC01977	91	18
CLC01980	23	6
CLC01982	20	5
CLC01983	72	23
CLC01985	39	8
CLC01993	1	0
CLC01996	54	12
CLC01999	35	5
CLC02001	66	15
CLC02008	5	1
CLC02009	94	16
CLC02021	42	9
CLC02026	90	11
CLC02030	18	3
CLC02033	56	10
CLC02034	47	12
CLC02037	30	5
CLC02040	62	16
CLC02049	40	2
CLC02051	26	6
