gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	104	23	25	0.6794466606004164	1.0679948686086695	3396	21033	8	13	0.07436897758867855	1.6431751850096838
IGH	536624	2442368	10966	2409	4994	0.0	2.072770056734238	148673	1172633	836	3117	0.0	3.7269331574926463
CIITA	144169	591929	568	138	141	0.7986426208809142	1.0192214290375725	39813	283792	48	48	0.9422089012880313	1.0063234211481873
BCL2	541453	2396782	1881	425	413	0.5935280118461268	0.9719165585989139	148332	957484	143	132	0.40213975880850894	0.9261527746268984
IGK	497023	2473268	5068	1018	1335	2.6741376860706646e-21	1.3108127292367477	136386	912989	346	595	5.502936521228433e-34	1.721286217058293
IGL	696704	2896958	6095	1466	1979	4.191456722548336e-37	1.3501047991217214	192458	1407056	458	983	4.904931134971026e-100	2.1446679534816453
RFTN1	515973	2200452	1687	396	381	0.48145683752293966	0.9631518398910716	141616	893152	130	117	0.29168246213087906	0.9020807741198699
BCL6	725688	3169294	3900	893	1035	3.5400703710138113e-06	1.159014124396484	199287	1276426	284	405	1.456604150913162e-11	1.4260679995574752
MYC	1111050	4811436	7486	1729	2488	8.808110937297068e-66	1.4392725958767874	305142	1963027	668	1329	3.6224968575801947e-112	1.9892403987474936
PAX5	604495	2524874	2495	597	617	0.4131869679931459	1.0329080867210103	166429	1119021	197	228	0.03260017271426932	1.1552434971171746
