gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	0	0	0	1.0	NA	3396	21033	0	0	1.0	NA
IGH	536624	2442368	0	0	0	1.0	NA	148673	1172633	0	0	1.0	NA
CIITA	144169	591929	0	0	0	1.0	NA	39813	283792	0	0	1.0	NA
BCL2	541453	2396782	0	0	0	1.0	NA	148332	957484	0	0	1.0	NA
IGK	497023	2473268	0	0	0	1.0	NA	136386	912989	0	0	1.0	NA
IGL	696704	2896958	0	0	0	1.0	NA	192458	1407056	0	0	1.0	NA
RFTN1	515973	2200452	0	0	0	1.0	NA	141616	893152	0	0	1.0	NA
BCL6	725688	3169294	0	0	0	1.0	NA	199287	1276426	0	0	1.0	NA
MYC	1111050	4811436	578	133	278	8.390567678176804e-28	2.08285855826087	305142	1963027	67	193	4.777604726628769e-36	2.8807777757362545
PAX5	604495	2524874	0	0	0	1.0	NA	166429	1119021	0	0	1.0	NA
