term	class	estimate	conf.low	conf.high	p.value
accuracy	NA	0.9492753623188406	0.927520551471221	0.9660327546274355	3.3832516157129875e-70
kappa	NA	0.8906946153519752	NA	NA	NA
mcnemar	NA	NA	NA	NA	0.8501067391385259
sensitivity	POS	0.9627507163323782	NA	NA	NA
specificity	POS	0.9261083743842364	NA	NA	NA
pos_pred_value	POS	0.9572649572649573	NA	NA	NA
neg_pred_value	POS	0.935323383084577	NA	NA	NA
precision	POS	0.9572649572649573	NA	NA	NA
recall	POS	0.9627507163323782	NA	NA	NA
f1	POS	0.96	NA	NA	NA
prevalence	POS	0.6322463768115942	NA	NA	NA
detection_rate	POS	0.6086956521739131	NA	NA	NA
detection_prevalence	POS	0.6358695652173914	NA	NA	NA
balanced_accuracy	POS	0.9444295453583074	NA	NA	NA
