term	class	estimate	conf.low	conf.high	p.value
accuracy	NA	0.9731437598736177	0.957347957305946	0.9842791265321768	2.209504479535338e-90
kappa	NA	0.9409693079897967	NA	NA	NA
mcnemar	NA	NA	NA	NA	1
sensitivity	NEG	0.9638009049773756	NA	NA	NA
specificity	NEG	0.9781553398058253	NA	NA	NA
pos_pred_value	NEG	0.9594594594594595	NA	NA	NA
neg_pred_value	NEG	0.9805352798053528	NA	NA	NA
precision	NEG	0.9594594594594594	NA	NA	NA
recall	NEG	0.9638009049773756	NA	NA	NA
f1	NEG	0.961625282167043	NA	NA	NA
prevalence	NEG	0.34913112164297	NA	NA	NA
detection_rate	NEG	0.33649289099526064	NA	NA	NA
detection_prevalence	NEG	0.35071090047393366	NA	NA	NA
balanced_accuracy	NEG	0.9709781223916004	NA	NA	NA
