term	class	estimate	conf.low	conf.high	p.value
accuracy	NA	0.9730586370839936	0.95721387426195	0.9842290535180358	3.11910190934962e-89
kappa	NA	0.9406196546894807	NA	NA	NA
mcnemar	NA	NA	NA	NA	1
sensitivity	POS	0.9781553398058253	NA	NA	NA
specificity	POS	0.9634703196347032	NA	NA	NA
pos_pred_value	POS	0.9805352798053528	NA	NA	NA
neg_pred_value	POS	0.9590909090909091	NA	NA	NA
precision	POS	0.9805352798053528	NA	NA	NA
recall	POS	0.9781553398058253	NA	NA	NA
f1	POS	0.9793438639125152	NA	NA	NA
prevalence	POS	0.652931854199683	NA	NA	NA
detection_rate	POS	0.6386687797147385	NA	NA	NA
detection_prevalence	POS	0.6513470681458003	NA	NA	NA
balanced_accuracy	POS	0.9708128297202643	NA	NA	NA
