term	class	estimate	conf.low	conf.high	p.value
accuracy	NA	0.9334389857369255	0.9110908445890805	0.951611118041246	2.5646782059738777e-70
kappa	NA	0.8552847126662735	NA	NA	NA
mcnemar	NA	NA	NA	NA	0.08963299426788844
sensitivity	POS	0.9624060150375939	NA	NA	NA
specificity	POS	0.8836206896551724	NA	NA	NA
pos_pred_value	POS	0.9343065693430657	NA	NA	NA
neg_pred_value	POS	0.9318181818181817	NA	NA	NA
precision	POS	0.9343065693430657	NA	NA	NA
recall	POS	0.9624060150375939	NA	NA	NA
f1	POS	0.9481481481481482	NA	NA	NA
prevalence	POS	0.6323296354992076	NA	NA	NA
detection_rate	POS	0.6085578446909667	NA	NA	NA
detection_prevalence	POS	0.6513470681458003	NA	NA	NA
balanced_accuracy	POS	0.9230133523463832	NA	NA	NA
