.y.	group1	ICC_class	group2	n1	n2	statistic	p	p.adj	p.adj.signif
expression	DLBCL_None	DLBCL	False Negative	173	7	716	0.416	0.635	ns
expression	DLBCL_None	DLBCL	IG	173	18	1552	0.984	0.984	ns
expression	DLBCL_None	DLBCL	Other non-IG	173	30	2941	0.245	0.522	ns
expression	DLBCL_None	HGBCL-DH-BCL2	False Negative	173	6	766	0.048	0.289	ns
expression	DLBCL_None	HGBCL-DH-BCL2	IG	173	11	829	0.476	0.635	ns
expression	DLBCL_None	HGBCL-DH-BCL2	MYC	173	25	1966	0.464	0.635	ns
expression	DLBCL_None	HGBCL-DH-BCL2	None	173	96	9054	0.22	0.522	ns
expression	DLBCL_None	HGBCL-DH-BCL2	Other non-IG	173	13	1618	0.008	0.101	ns
expression	DLBCL_None	HGBCL-DH-BCL6	False Negative	173	6	692	0.167	0.522	ns
expression	DLBCL_None	HGBCL-DH-BCL6	IG	173	5	390	0.712	0.854	ns
expression	DLBCL_None	HGBCL-DH-BCL6	MYC	173	4	351	0.965	0.984	ns
expression	DLBCL_None	HGBCL-DH-BCL6	Other non-IG	173	7	758	0.261	0.522	ns
