gene_id	ensembl_gene_id	hgnc_symbol	sample_id	expression
ENSG00000054219.11	ENSG00000054219	LY75	00-26427T	11.475270822491709
ENSG00000054219.11	ENSG00000054219	LY75	02-22991T	11.307809521794368
ENSG00000054219.11	ENSG00000054219	LY75	03-10363T	12.160870861444232
ENSG00000054219.11	ENSG00000054219	LY75	03-10440T	10.997703018016049
ENSG00000054219.11	ENSG00000054219	LY75	04-28140T	10.568261095139878
ENSG00000054219.11	ENSG00000054219	LY75	04-29264T	14.289817686645671
ENSG00000054219.11	ENSG00000054219	LY75	04-35039T	11.756086538103723
ENSG00000054219.11	ENSG00000054219	LY75	05-12939T	11.256814059818524
ENSG00000054219.11	ENSG00000054219	LY75	05-17793T	12.464902345835531
ENSG00000054219.11	ENSG00000054219	LY75	05-18426T	12.097962462695616
ENSG00000054219.11	ENSG00000054219	LY75	05-21634T	11.333533580506653
ENSG00000054219.11	ENSG00000054219	LY75	05-23110T	12.539268833093338
ENSG00000054219.11	ENSG00000054219	LY75	05-24395T	11.933170129440025
ENSG00000054219.11	ENSG00000054219	LY75	05-24561T	12.340767124564337
ENSG00000054219.11	ENSG00000054219	LY75	05-24904T	10.925141829563746
ENSG00000054219.11	ENSG00000054219	LY75	05-25439T	10.966739048271235
ENSG00000054219.11	ENSG00000054219	LY75	05-32150T	11.93134218865857
ENSG00000054219.11	ENSG00000054219	LY75	05-32947T	11.485589080303155
ENSG00000054219.11	ENSG00000054219	LY75	06-10398T	11.127507960166374
ENSG00000054219.11	ENSG00000054219	LY75	06-11535T	12.246814486002764
ENSG00000054219.11	ENSG00000054219	LY75	06-14634T	11.722135819389948
ENSG00000054219.11	ENSG00000054219	LY75	06-15256T	13.113461413380922
ENSG00000054219.11	ENSG00000054219	LY75	06-16716T	11.70261480161102
ENSG00000054219.11	ENSG00000054219	LY75	06-19919T	12.632382403868816
ENSG00000054219.11	ENSG00000054219	LY75	06-22057T	11.981725461233031
ENSG00000054219.11	ENSG00000054219	LY75	06-23907T	12.013912424837535
ENSG00000054219.11	ENSG00000054219	LY75	06-24915T	11.070316629941594
ENSG00000054219.11	ENSG00000054219	LY75	06-25674T	12.779245565257149
ENSG00000054219.11	ENSG00000054219	LY75	06-30025T	11.034109573069703
ENSG00000054219.11	ENSG00000054219	LY75	06-30145T	12.216361572014065
ENSG00000054219.11	ENSG00000054219	LY75	06-33777T	11.920394286596542
ENSG00000054219.11	ENSG00000054219	LY75	06-34043T	12.466550997197647
ENSG00000054219.11	ENSG00000054219	LY75	07-25012T	12.871259845636175
ENSG00000054219.11	ENSG00000054219	LY75	07-30628T	11.960262779840386
ENSG00000054219.11	ENSG00000054219	LY75	07-35482T	13.304184092485889
ENSG00000054219.11	ENSG00000054219	LY75	08-10249T	11.300697390962226
ENSG00000054219.11	ENSG00000054219	LY75	08-15460T	11.925941385255406
ENSG00000054219.11	ENSG00000054219	LY75	08-29440T	9.792487584521746
ENSG00000054219.11	ENSG00000054219	LY75	09-11467T	11.228560571694855
ENSG00000054219.11	ENSG00000054219	LY75	09-12864T	14.168243176270414
ENSG00000054219.11	ENSG00000054219	LY75	09-16981T	14.703456810230534
ENSG00000054219.11	ENSG00000054219	LY75	09-31008T	11.430333063231757
ENSG00000054219.11	ENSG00000054219	LY75	09-33003T	11.939095180629078
ENSG00000054219.11	ENSG00000054219	LY75	09-41082T	14.300109253609577
ENSG00000054219.11	ENSG00000054219	LY75	10-18191T	13.048345473079591
ENSG00000054219.11	ENSG00000054219	LY75	11-21727T	11.085405154619515
ENSG00000054219.11	ENSG00000054219	LY75	12-29259T	11.721243994551116
ENSG00000054219.11	ENSG00000054219	LY75	81-52884T	12.436331172366483
ENSG00000054219.11	ENSG00000054219	LY75	89-62169T	12.776028934986865
ENSG00000054219.11	ENSG00000054219	LY75	95-32814T	12.11262685872424
ENSG00000054219.11	ENSG00000054219	LY75	97-14402T	11.164878775790434
ENSG00000054219.11	ENSG00000054219	LY75	98-22532T	11.917755424176734
ENSG00000054219.11	ENSG00000054219	LY75	04-24937T	11.303211365009695
ENSG00000054219.11	ENSG00000054219	LY75	09-31233T	11.49389316157893
ENSG00000054219.11	ENSG00000054219	LY75	09-37629T	12.342254701422087
ENSG00000054219.11	ENSG00000054219	LY75	10-10826T	11.277274311674232
ENSG00000054219.11	ENSG00000054219	LY75	10-31625T	11.335997825525324
ENSG00000054219.11	ENSG00000054219	LY75	10-40676T	11.064226035170222
ENSG00000054219.11	ENSG00000054219	LY75	11-35935T	11.474533797034404
ENSG00000054219.11	ENSG00000054219	LY75	13-22818T	12.609695744533298
ENSG00000054219.11	ENSG00000054219	LY75	13-30451T	10.137122960163971
ENSG00000054219.11	ENSG00000054219	LY75	14-11247T	13.884644967216984
ENSG00000054219.11	ENSG00000054219	LY75	14-13959T	11.860150387417976
ENSG00000054219.11	ENSG00000054219	LY75	14-16281T	12.807215264878552
ENSG00000054219.11	ENSG00000054219	LY75	14-16707T	12.807689599520863
ENSG00000054219.11	ENSG00000054219	LY75	14-20962T	11.72848028147903
ENSG00000054219.11	ENSG00000054219	LY75	14-23891T	12.046774806302128
ENSG00000054219.11	ENSG00000054219	LY75	14-25466T	12.59940445511044
ENSG00000054219.11	ENSG00000054219	LY75	14-27873T	9.731548814531855
ENSG00000054219.11	ENSG00000054219	LY75	14-32442T	11.56734389789292
ENSG00000054219.11	ENSG00000054219	LY75	14-33262T	10.517689385424305
ENSG00000054219.11	ENSG00000054219	LY75	14-33436T	11.417739876363399
ENSG00000054219.11	ENSG00000054219	LY75	14-36022T	12.140550282749308
ENSG00000054219.11	ENSG00000054219	LY75	14-37722T	12.21043630469548
ENSG00000054219.11	ENSG00000054219	LY75	15-10535T	12.453203913870542
ENSG00000054219.11	ENSG00000054219	LY75	15-11617T	14.880580779667293
ENSG00000054219.11	ENSG00000054219	LY75	15-13365T	12.267354907275932
ENSG00000054219.11	ENSG00000054219	LY75	15-24306T	11.787117701379607
ENSG00000054219.11	ENSG00000054219	LY75	15-26538T	11.633956324055974
ENSG00000054219.11	ENSG00000054219	LY75	15-29858T	11.312900270571896
ENSG00000054219.11	ENSG00000054219	LY75	15-31924T	12.206289375150808
ENSG00000054219.11	ENSG00000054219	LY75	15-34472T	11.223984959832404
ENSG00000054219.11	ENSG00000054219	LY75	15-38154T	10.783815050460007
ENSG00000054219.11	ENSG00000054219	LY75	16-11636T	10.291242318665669
ENSG00000054219.11	ENSG00000054219	LY75	16-13732T	12.196905607592633
ENSG00000054219.11	ENSG00000054219	LY75	16-16192T	13.814738700702485
ENSG00000054219.11	ENSG00000054219	LY75	16-16723T	12.705918130731582
ENSG00000054219.11	ENSG00000054219	LY75	16-17861T	12.38523185524602
ENSG00000054219.11	ENSG00000054219	LY75	16-18029T	10.844808487108786
