gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	1	0	0	1.0	0.0	3396	21033	0	0	1.0	0.0
IGH	536624	2442368	3200	703	1512	9.095615290822159e-154	2.1506212927965125	148673	1172633	278	999	1.3781900543546951e-244	3.5968397330061865
CIITA	144169	591929	22	5	0	0.008307906836148307	0.0	39813	283792	1	0	0.6550501792355921	0.0
BCL2	541453	2396782	312	70	105	0.0001294894816872663	1.4897156089951231	148332	957484	23	57	1.6627656833437155e-09	2.486068159113578
IGK	497023	2473268	596	120	214	7.453762979375113e-15	1.7867544060740952	136386	912989	42	112	2.8282244180326934e-19	2.6681770745720454
IGL	696704	2896958	1228	295	450	6.728742290279795e-17	1.523740995229071	192458	1407056	102	277	1.3014645076770985e-46	2.725706787049286
RFTN1	515973	2200452	54	13	9	0.39661923604257693	0.7107773391866061	141616	893152	5	4	1.0	0.8699113272844144
BCL6	725688	3169294	459	105	116	0.28301624835133193	1.1037179380827113	199287	1276426	34	56	0.0005719727412926662	1.6378047172823147
MYC	1111050	4811436	922	213	254	0.006076527819119984	1.1930109321767286	305142	1963027	88	101	0.1487778668210552	1.1540852292421038
PAX5	604495	2524874	270	65	68	0.6629811926055897	1.05194303763002	166429	1119021	20	33	0.010150966589932385	1.6195847114233737
