gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	193	43	74	2.605999467282779e-05	1.7034945199620348	3396	21033	13	42	7.994529901759206e-11	3.2928365951597587
IGH	536624	2442368	21918	4816	10181	5e-324	2.114205946140982	148673	1172633	1801	6586	0.0	3.657332699817001
CIITA	144169	591929	712	173	245	2.7806045747248975e-07	1.4128129104555287	39813	283792	68	153	8.597577371218237e-19	2.2533305157223134
BCL2	541453	2396782	3762	850	1101	1.6875682698265997e-16	1.2954989806777795	148332	957484	290	518	2.519438263909197e-33	1.7833136456999035
IGK	497023	2473268	5895	1185	1874	4.9094171072096217e-76	1.5819137279401096	136386	912989	387	985	1.8844078243829208e-142	2.5468729923649476
IGL	696704	2896958	10934	2630	3956	7.843088307933329e-128	1.504438021418511	192458	1407056	830	2167	0.0	2.6118219720536398
RFTN1	515973	2200452	1306	306	313	0.6891013013160797	1.0220828607664543	141616	893152	93	107	0.14557998303120306	1.1535625062515917
BCL6	725688	3169294	5997	1373	1831	6.575644649756155e-32	1.3334229946676732	199287	1276426	437	847	2.083107773831586e-67	1.9368251732884838
MYC	1111050	4811436	7743	1788	2053	8.948801402267677e-10	1.1482096689103771	305142	1963027	608	736	4.892100481083176e-07	1.2100211266733059
PAX5	604495	2524874	3537	847	1135	4.8074425074032405e-21	1.340320309264202	166429	1119021	282	599	3.141965883888548e-60	2.1208711292101965
