gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	50	11	19	0.03439382215015888	1.688292688176672	3396	21033	3	8	0.005139527719515657	3.096766479821565
IGH	536624	2442368	7167	1575	3277	3.3077839197877827e-306	2.081084991151869	148673	1172633	551	2077	0.0	3.767979915009148
CIITA	144169	591929	325	79	125	2.0843663548469296e-06	1.5791571935522084	39813	283792	32	91	9.984770068939105e-18	2.8575599893295793
BCL2	541453	2396782	3804	859	1262	9.318977480245224e-38	1.4685505736932092	148332	957484	303	708	5.328336109487608e-87	2.33413325586032
IGK	497023	2473268	2837	570	912	1.3482240976421382e-39	1.5996770467864005	136386	912989	164	459	4.680523011868354e-79	2.7933310447178616
IGL	696704	2896958	3650	878	1291	8.137206932967327e-39	1.4707169559270301	192458	1407056	271	689	2.6623640046837653e-100	2.5466839175287608
RFTN1	515973	2200452	412	97	101	0.6468131687979344	1.0454640586643307	141616	893152	28	33	0.3439917640932752	1.1758551686558887
BCL6	725688	3169294	1903	436	598	1.7445490510318972e-13	1.3723840791476285	199287	1276426	137	284	3.0966129347307623e-28	2.0788791208016875
MYC	1111050	4811436	1538	355	383	0.1443724066992101	1.0784093021167116	305142	1963027	114	111	0.814983444414529	0.9715382227599947
PAX5	604495	2524874	1059	254	384	2.4351832628509506e-14	1.5145475967208242	166429	1119021	87	212	1.166183286685457e-29	2.432482858397224
