gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	14	3	4	0.5642687261505013	1.269388694704401	3396	21033	0	2	0.08550492537158642	4.129002364393788
IGH	536624	2442368	6954	1528	2545	1.8388641464852578e-124	1.665736166197469	148673	1172633	452	1315	8.048443071479732e-238	2.911233396179494
CIITA	144169	591929	82	20	16	0.4335245295361893	0.8011312742043939	39813	283792	8	5	0.467477093158595	0.6480106207947335
BCL2	541453	2396782	410	93	97	0.6398186502298089	1.04726285339731	148332	957484	36	35	1.0	0.9780311869714967
IGK	497023	2473268	1562	314	417	3.0163959703559735e-08	1.3284678310208355	136386	912989	94	175	6.780256470123584e-14	1.8624599854740052
IGL	696704	2896958	3146	757	1002	1.8764100471731133e-17	1.324357233000962	192458	1407056	214	472	3.281524433788052e-52	2.206425298495526
RFTN1	515973	2200452	296	69	74	0.5485193634750015	1.0661663924364326	141616	893152	27	25	0.7734417495449206	0.9166942578808307
BCL6	725688	3169294	1815	416	506	1.7425210360268047e-05	1.2175513035254715	199287	1276426	123	219	6.023446015775423e-15	1.7778161812592694
MYC	1111050	4811436	3806	879	959	0.007690730009974859	1.0911674276966135	305142	1963027	334	349	0.39596915433146257	1.0462134925316788
PAX5	604495	2524874	1051	252	253	0.9246405666214044	1.0054600440293584	166429	1119021	84	91	0.4452046361497104	1.0810218095660393
