gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	38	9	9	0.862941637834288	1.0522555336157369	3396	21033	3	1	0.5364538954605497	0.3643205259274966
IGH	536624	2442368	29476	6476	13424	5e-324	2.0729034204813295	148673	1172633	2434	8664	0.0	3.559997326435359
CIITA	144169	591929	513	125	190	5.602126956851087e-08	1.5206694702341568	39813	283792	53	139	7.385730644253406e-23	2.6281661338368836
BCL2	541453	2396782	10083	2278	3304	3.6744866194039217e-90	1.450513087513285	148332	957484	839	1881	3.407437149066916e-209	2.2410928224794695
IGK	497023	2473268	4782	961	1546	2.5258155247675023e-67	1.608780716314242	136386	912989	316	743	9.97160472323652e-93	2.3528029172704596
IGL	696704	2896958	13412	3226	4810	6.831113480072416e-149	1.4912476030606125	192458	1407056	1006	2613	0.0	2.5963960607798415
RFTN1	515973	2200452	328	77	73	0.7320147556579717	0.949147974062343	141616	893152	22	24	0.6721389359698796	1.073507796280705
BCL6	725688	3169294	4747	1087	1380	1.4402815139751922e-17	1.2696184084807163	199287	1276426	352	664	1.5502615506135019e-49	1.8859978228564092
MYC	1111050	4811436	8414	1943	2211	2.5719569269290986e-09	1.1379621157925641	305142	1963027	679	846	6.18036315841363e-10	1.246556480508535
PAX5	604495	2524874	3015	722	958	5.843876320572535e-17	1.3271680986955319	166429	1119021	214	462	7.829974751535304e-49	2.1587047784651245
