gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	405	91	133	4.143896591640183e-05	1.459016905968072	3396	21033	27	67	6.605209576580047e-11	2.4848321300395426
IGH	536624	2442368	87044	19125	39460	0.0	2.063364279535238	148673	1172633	6983	25095	5e-324	3.593989718989481
CIITA	144169	591929	2308	562	752	2.4507030029883455e-14	1.3377665933049658	39813	283792	217	454	1.2640291035235262e-44	2.0919119476591552
BCL2	541453	2396782	20418	4613	6325	8.375595637375084e-126	1.3712495267233842	148332	957484	1649	3354	4.0779415278266427e-296	2.033659881734185
IGK	497023	2473268	22032	4428	6717	6.628274976158733e-224	1.5171137424078278	136386	912989	1433	3285	0.0	2.29212015975769
IGL	696704	2896958	41338	9942	14521	5e-324	1.4606422163553894	192458	1407056	3090	7771	5e-324	2.5151622716450266
RFTN1	515973	2200452	4124	967	960	0.8344342238504898	0.9927445089069817	141616	893152	308	311	0.8419081781577132	1.0100066300941222
BCL6	725688	3169294	19644	4498	5741	1.2356856014474789e-70	1.2763534633493778	199287	1276426	1443	2636	3.5762520276336327e-174	1.8272279905204685
MYC	1111050	4811436	31607	7299	8820	1.3294008856656183e-66	1.2084453647825042	305142	1963027	2641	3711	1.3870374295500816e-85	1.4049869180872023
PAX5	604495	2524874	12075	2891	3651	5.2568694410943215e-42	1.2629095385058733	166429	1119021	941	1766	1.1078758549139806e-126	1.8758512633014572
