gene	motif_bases	gene_bases	gene_mutations	expected_motif_mut	actual_motif_mut	motif_bias	motif_odds_ratio	motif_site_bases	gene_site_bases	expected_motif_site_mut	actual_motif_site_mut	motif_site_bias	motif_site_odds_ratio
IRAG2	12521	55629	0	0	0	1.0	NA	3396	21033	0	0	1.0	NA
IGH	536624	2442368	303	67	170	2.5980572441956676e-26	2.5536287850702495	148673	1172633	25	113	3.982829419420166e-37	4.43449684931993
CIITA	144169	591929	23	6	13	0.005157691952160149	2.320684136874874	39813	283792	2	11	4.069804487077577e-05	4.61244027710647
BCL2	541453	2396782	113	26	31	0.2749227677914584	1.2143715081019397	148332	957484	11	21	0.010181009683275207	1.8569347962244567
IGK	497023	2473268	169	34	51	0.0057982715691105285	1.5016890864929264	136386	912989	11	28	6.5863194251566795e-06	2.6399904679852617
IGL	696704	2896958	114	27	41	0.012813609447490312	1.495457099035465	192458	1407056	10	26	8.53543985803762e-06	2.715534690622081
RFTN1	515973	2200452	15	4	3	1.0	0.8529328954225043	141616	893152	1	0	1.0	0.0
BCL6	725688	3169294	57	13	20	0.06920204386748265	1.5323862505949761	199287	1276426	5	11	0.022458743003234645	2.1349957295381103
MYC	1111050	4811436	52	12	15	0.38319795872821594	1.2491919337600528	305142	1963027	4	7	0.21943619311773638	1.6082914913550246
PAX5	604495	2524874	46	11	18	0.047474425200953616	1.6344148443683457	166429	1119021	4	7	0.13034075548240612	1.7431890226219608
